Symbol,Date,Open,High,Low,Close,Volume,20EMA
NIFTY50,20200421,9062.35,9085.2,8941.5,9000.8,63975,
NIFTY50,20200422,8900.0,9238.25,8900.0,9211.35,114675,
NIFTY50,20200423,9208.65,9341.45,9192.45,9317.95,83400,
NIFTY50,20200424,9200.05,9278.3,9135.15,9160.25,97575,
NIFTY50,20200427,9253.5,9380.0,9253.5,9309.65,95025,
NIFTY50,20200428,9410.0,9449.75,9276.3,9417.65,126525,
NIFTY50,20200429,9457.45,9616.45,9426.25,9577.45,143475,
NIFTY50,20200430,9794.35,9908.0,9717.55,9837.45,259800,
NIFTY50,20200504,9434.55,9484.45,9260.05,9310.45,280125,
NIFTY50,20200505,9409.95,9430.7,9201.55,9219.9,241725,
NIFTY50,20200506,9223.8,9381.95,9138.25,9295.05,286350,
NIFTY50,20200507,9176.95,9278.45,9176.95,9220.5,213900,
NIFTY50,20200508,9350.0,9378.5,9226.55,9245.45,238050,
NIFTY50,20200511,9340.0,9449.0,9210.0,9231.2,259125,
NIFTY50,20200512,9154.6,9272.7,9048.0,9226.05,269325,
NIFTY50,20200513,9549.15,9554.95,9365.9,9402.6,328200,
NIFTY50,20200514,9261.8,9287.95,9120.0,9151.3,289875,
NIFTY50,20200515,9169.95,9189.5,9060.2,9138.55,255900,
NIFTY50,20200518,9116.75,9120.95,8815.05,8826.85,504900,
NIFTY50,20200519,8950.85,9029.85,8851.05,8879.95,461400,9249.02
NIFTY50,20200520,8897.1,9092.2,8879.55,9069.6,468825,9231.932380952381
NIFTY50,20200521,9069.0,9165.25,9046.8,9075.6,456750,9217.04358276644
NIFTY50,20200522,9023.75,9124.25,8942.3,9026.55,672375,9198.901336788684
NIFTY50,20200526,9098.95,9152.5,8974.45,9028.2,935250,9182.644066618333
NIFTY50,20200527,9074.6,9330.0,8982.4,9300.45,1441425,9193.86367932135
NIFTY50,20200528,9330.0,9448.95,9306.25,9427.95,1673775,9216.157614624079
NIFTY50,20200529,9385.7,9508.25,9361.15,9494.1,1892550,9242.628317993214
NIFTY50,20200601,9661.0,9909.8,9655.0,9791.0,1913850,9294.854192470051
NIFTY50,20200602,9824.45,9987.95,9780.0,9962.95,1821075,9358.48236461576
NIFTY50,20200603,10069.05,10190.7,10036.75,10071.8,1841250,9426.417377509497
NIFTY50,20200604,10059.3,10109.45,9933.45,10017.65,1935600,9482.725246318116
NIFTY50,20200605,10077.0,10184.0,10040.0,10145.5,1827975,9545.846651430677
NIFTY50,20200608,10288.85,10309.85,10113.25,10165.35,1779075,9604.846970342041
NIFTY50,20200609,10193.3,10294.35,10006.8,10034.0,1905675,9645.718687452323
NIFTY50,20200610,10076.85,10151.85,10037.45,10118.7,1813500,9690.764526742578
NIFTY50,20200611,10073.0,10099.0,9876.55,9894.55,1952100,9710.172667052808
NIFTY50,20200612,9599.35,9981.0,9591.05,9955.35,1994250,9733.522889238255
NIFTY50,20200615,9879.35,9903.1,9682.3,9813.75,1988325,9741.163566453659
NIFTY50,20200616,10009.95,10044.3,9705.55,9897.85,1975125,9756.086083934262
NIFTY50,20200617,9853.15,9987.8,9810.2,9871.75,1752075,9767.101694988141
